买入日,代码,名称,评级,买入价,卖出日,卖出价,收益%,持仓天数
2022-01-04,002893,京能热力,D,8.58,2022-01-11,8.70,1.3%,6
2022-02-08,002100,天康生物,C,10.78,2022-02-09,11.58,7.4%,2
2022-03-10,600327,大东方,B,5.77,2022-03-11,6.42,11.2%,2
2022-03-25,300824,北鼎股份,D,9.90,2022-03-28,10.58,6.8%,2
2022-03-29,601872,招商轮船,C,3.42,2022-03-30,3.79,10.9%,2
2022-03-31,002901,大博医疗,B,42.28,2022-04-07,44.91,6.2%,4
2022-04-08,300507,苏奥传感,B,6.16,2022-04-15,5.59,-9.3%,6
2022-04-18,000915,华特达因,B,28.44,2022-04-19,30.07,5.6%,2
2022-04-20,300927,江天化学,B,17.18,2022-04-27,15.60,-9.3%,6
2022-04-28,300573,兴齐眼药,A,19.69,2022-04-29,22.17,12.5%,1
2022-04-29,301031,中熔电气,A,43.17,2022-05-06,45.31,4.9%,3
2022-06-01,002709,天赐材料,D,36.72,2022-06-02,40.05,9.0%,2
2022-06-17,002848,*ST高斯,D,9.53,2022-06-21,10.44,9.4%,3
2022-06-23,000550,江铃汽车,C,13.75,2022-06-24,14.83,7.8%,2
2022-07-01,603706,东方环宇,B,11.45,2022-07-04,12.90,12.6%,2
2022-07-08,603897,长城科技,B,24.31,2022-07-11,22.33,-8.2%,2
2022-07-12,603928,兴业股份,D,6.41,2022-07-14,6.90,7.5%,3
2022-07-18,603027,千禾味业,B,11.59,2022-07-25,11.65,0.4%,6
2022-07-27,002738,中矿资源,A,64.17,2022-08-03,57.78,-10.0%,6
2022-08-04,002507,涪陵榨菜,A,23.43,2022-08-11,22.72,-3.1%,6
2022-08-12,301096,百诚医药,C,84.86,2022-08-19,82.30,-3.1%,6
2022-08-22,688125,安达智能,D,77.39,2022-08-29,80.26,3.6%,6
2022-08-30,688722,同益中,C,19.50,2022-09-06,20.60,5.6%,6
2022-09-07,603329,上海雅仕,C,14.10,2022-09-15,13.89,-1.5%,6
2022-09-16,300833,浩洋股份,D,61.51,2022-09-23,59.80,-2.9%,6
2022-09-30,300348,长亮科技,D,11.14,2022-10-10,11.91,6.9%,2
2022-10-24,688579,山大地纬,D,9.10,2022-10-27,9.01,-1.1%,3
2022-10-27,301004,嘉益股份,A,17.51,2022-10-28,18.49,5.5%,2
2022-10-31,601699,潞安环能,B,11.14,2022-11-04,11.84,6.2%,5
2022-11-29,600559,老白干酒,A,21.57,2022-12-01,22.63,4.8%,3
2022-12-02,001206,依依股份,B,15.77,2022-12-09,16.53,4.8%,6
2022-12-22,002100,天康生物,C,8.08,2022-12-29,7.67,-5.0%,6
2023-01-04,600287,江苏舜天,C,5.24,2023-01-11,4.95,-5.7%,6
2023-02-08,002572,索菲亚,D,17.12,2023-02-15,17.49,2.1%,6
2023-02-17,002100,天康生物,C,8.39,2023-02-24,8.54,1.8%,6
2023-02-28,300559,佳发教育,B,11.07,2023-03-02,11.62,4.9%,3
2023-03-14,600665,天地源,C,4.13,2023-03-21,3.98,-3.8%,6
2023-03-22,002139,拓邦股份,C,12.25,2023-03-24,13.11,7.0%,3
2023-03-28,002410,广联达,B,50.80,2023-04-04,51.72,1.7%,6
2023-04-13,300624,万兴科技,C,65.82,2023-04-20,77.11,17.1%,6
2023-04-21,688526,科前生物,A,23.81,2023-04-26,22.68,-4.8%,3
2023-04-26,002478,常宝股份,A,5.45,2023-04-27,5.78,6.0%,2
2023-04-28,600251,冠农股份,A,8.44,2023-05-08,8.19,-3.1%,4
2023-05-09,605108,同庆楼,A,34.01,2023-05-16,31.87,-6.4%,6
2023-05-22,605337,李子园,C,17.22,2023-05-29,16.87,-2.1%,6
2023-05-30,603357,设计总院,D,9.80,2023-06-01,10.29,4.9%,3
2023-06-05,001228,永泰运,A,38.31,2023-06-12,35.57,-7.2%,6
2023-06-27,605158,华达新材,C,6.95,2023-07-03,7.30,5.0%,5
2023-07-04,605180,华生科技,A,12.36,2023-07-11,12.61,2.0%,6
2023-07-12,002384,东山精密,B,25.55,2023-07-19,23.26,-9.1%,6
2023-07-20,300629,新劲刚,B,20.36,2023-07-27,20.71,1.6%,6
2023-07-31,300740,水羊股份,B,19.01,2023-08-01,21.64,13.8%,2
2023-08-02,300193,佳士科技,C,7.57,2023-08-09,7.51,-0.9%,6
2023-08-10,688475,萤石网络,A,30.90,2023-08-17,30.15,-2.5%,6
2023-08-18,600132,重庆啤酒,A,85.89,2023-08-25,79.61,-7.4%,6
2023-08-28,600456,宝钛股份,B,31.02,2023-09-04,33.32,7.3%,6
2023-09-19,301278,快可电子,B,51.06,2023-09-26,48.93,-4.3%,6
2023-09-27,300756,金马游乐,C,12.80,2023-10-12,12.46,-2.7%,6
2023-10-17,603619,中曼石油,B,20.26,2023-10-23,18.65,-8.0%,5
2023-10-24,688633,星球石墨,D,21.98,2023-10-25,22.82,3.7%,1
2023-10-25,301160,翔楼新材,A,17.30,2023-11-01,17.94,3.6%,6
2023-11-02,605116,奥锐特,A,24.33,2023-11-09,24.55,0.9%,6
2023-11-13,605050,福然德,C,11.78,2023-11-16,12.39,5.1%,4
