买入日,代码,名称,买入价,卖出日,卖出价,收益%,持仓天数
20230801,300583,赛托生物,18.62,20230810,18.43,-1.0%,9
20230808,688475,萤石网络,31.11,20230914,33.61,8.0%,37
20230810,603102,百合股份,46.03,20230822,43.27,-6.0%,12
20230814,300414,中光防雷,9.89,20230824,10.36,4.8%,10
20230815,688321,微芯生物,23.39,20230817,21.85,-6.6%,2
20230816,300905,宝丽迪,17.87,20230824,16.46,-7.9%,8
20230816,603610,麒盛科技,11.40,20230824,9.94,-12.8%,8
20230818,300607,拓斯达,14.81,20230828,13.07,-11.8%,10
20230818,600132,重庆啤酒,85.85,20230922,78.76,-8.3%,35
20230821,002724,海洋王,8.16,20230824,7.58,-7.1%,3
20230822,603078,江化微,16.04,20230922,16.11,0.4%,31
20230823,688486,龙迅股份,34.15,20230828,31.84,-6.8%,5
20230823,003028,振邦智能,29.05,20230824,27.42,-5.6%,1
20230825,002048,宁波华翔,13.14,20231024,12.21,-7.1%,60
20230825,300017,网宿科技,6.21,20230914,5.89,-5.2%,20
20230828,688718,唯赛勃,17.35,20230901,16.21,-6.6%,4
20230828,600456,宝钛股份,31.00,20230922,32.20,3.9%,25
20230829,688058,宝兰德,36.37,20231101,33.53,-7.8%,64
20230829,688208,道通科技,16.96,20231017,17.94,5.8%,49
20230829,300917,特发服务,34.08,20230901,32.64,-4.2%,3
20230829,603307,扬州金泉,30.81,20231024,30.26,-1.8%,56
20230830,688578,艾力斯,25.80,20230906,27.16,5.3%,7
20230830,603661,恒林股份,33.51,20231024,30.75,-8.2%,55
20230830,605336,*ST帅电,16.19,20231011,15.19,-6.2%,42
20230831,301333,诺思格,65.25,20230906,61.52,-5.7%,6
20230831,300973,立高食品,67.18,20230922,62.17,-7.5%,22
20230831,002613,北玻股份,4.76,20230914,4.48,-5.9%,14
20230831,603515,欧普照明,18.92,20231024,17.30,-8.6%,54
20230831,301235,华康洁净,25.60,20231024,26.39,3.1%,54
20230831,688408,中信博,43.88,20231114,48.40,10.3%,75
20230831,688135,利扬芯片,23.51,20230901,21.80,-7.3%,1
20231025,301160,翔楼新材,17.28,20231227,18.16,5.1%,63
20231025,300045,华力创通,29.90,20231101,26.94,-9.9%,7
20231025,688571,杭华股份,6.52,20240123,5.65,-13.4%,90
20231025,300441,鲍斯股份,5.76,20231201,6.18,7.3%,37
20231025,003000,劲仔食品,9.68,20231221,10.76,11.2%,57
20231026,600502,安徽建工,4.20,20231101,3.98,-5.2%,6
20231026,002443,金洲管道,7.41,20231101,6.91,-6.7%,6
20231027,301383,天键股份,28.78,20240123,36.01,25.1%,88
20231027,300735,光弘科技,22.00,20231109,25.74,17.0%,13
20231027,002991,甘源食品,68.47,20231221,62.82,-8.3%,55
20231027,600745,*ST闻泰,48.22,20231208,44.43,-7.9%,42
20231030,300969,恒帅股份,38.90,20231130,50.47,29.7%,31
20231030,002011,盾安环境,11.03,20231113,11.58,5.0%,14
20231030,605338,巴比食品,20.39,20231225,18.97,-7.0%,56
20231030,002850,科达利,82.07,20231208,77.31,-5.8%,39
20231030,603057,紫燕食品,21.08,20231219,19.37,-8.1%,50
20231030,605007,五洲特纸,15.26,20231109,14.54,-4.7%,10
20231030,300709,精研科技,27.18,20231123,33.09,21.7%,24
20231030,688310,迈得医疗,27.19,20231103,25.82,-5.1%,4
20231030,688179,阿拉丁,12.09,20231103,11.52,-4.7%,4
20231030,688687,凯因科技,29.93,20231114,28.37,-5.2%,15
20231030,002444,巨星科技,18.28,20231123,19.52,6.8%,24
20231031,002045,国光电器,15.93,20240109,14.79,-7.2%,70
20231031,300687,赛意信息,24.48,20231130,23.19,-5.3%,30
20231031,002753,永东股份,7.52,20240115,7.76,3.2%,76
20231031,603689,皖天然气,8.12,20231101,7.60,-6.4%,1
20231031,603456,九洲药业,28.39,20231113,27.08,-4.6%,13
20231031,002757,南兴股份,14.32,20231219,14.55,1.6%,49
20231031,603338,浙江鼎力,48.48,20231113,45.91,-5.3%,13
20231031,603408,建霖家居,10.39,20231101,9.80,-5.7%,1
20231031,600675,中华企业,3.64,20231101,3.32,-8.8%,1
20231031,300638,广和通,20.34,20231123,19.33,-5.0%,23
20231031,688213,思特威,48.15,20231109,51.18,6.3%,9
20231031,301122,采纳股份,41.81,20231101,39.58,-5.3%,1
20231031,301033,迈普医学,38.99,20231225,40.32,3.4%,55
20231031,300529,健帆生物,22.38,20231103,21.23,-5.1%,3
20231031,688619,罗普特,13.80,20231219,14.02,1.6%,49
20231031,688049,炬芯科技,24.26,20231123,25.65,5.8%,23
20231031,603282,亚光股份,26.95,20231208,24.97,-7.4%,38
20231101,000838,*ST发展,3.59,20231225,3.45,-3.9%,54
20231101,603111,康尼机电,4.45,20240109,4.91,10.4%,69
20231101,605116,奥锐特,24.66,20240123,22.02,-10.7%,83
20240312,600557,康缘药业,20.57,20240326,20.96,1.9%,14
20240328,002847,盐津铺子,50.75,20240516,47.20,-7.0%,49
20240329,002658,雪迪龙,6.39,20240415,5.99,-6.3%,17
20240401,002533,金杯电工,9.20,20240429,8.65,-6.0%,28
20240401,002895,川恒股份,13.96,20240424,15.37,10.1%,23
20240402,300841,康华生物,58.57,20240411,53.96,-7.9%,9
20240402,688208,道通科技,12.61,20240607,14.42,14.4%,66
20240402,300926,博俊科技,19.91,20240409,18.56,-6.8%,7
20240402,603408,建霖家居,12.70,20240417,13.23,4.2%,15
20240402,002906,华阳集团,27.30,20240527,25.29,-7.4%,55
20240402,002901,大博医疗,31.56,20240411,29.18,-7.5%,9
20240409,000911,*ST广糖,8.33,20240417,7.28,-12.6%,8
20240410,605007,五洲特纸,15.29,20240411,14.39,-5.9%,1
20240411,300922,天秦装备,12.99,20240417,13.37,2.9%,6
20240415,002552,宝鼎科技,14.55,20240424,13.91,-4.4%,9
20240416,301077,星华新材,10.79,20240418,9.88,-8.5%,2
20240416,301252,同星科技,18.43,20240418,18.63,1.1%,2
20240417,605507,国邦医药,10.36,20240612,11.48,10.8%,56
20240418,000990,诚志股份,7.36,20240516,8.37,13.7%,28
20240419,300596,利安隆,25.73,20240516,30.09,17.0%,27
20240419,301219,腾远钴业,34.42,20240424,31.22,-9.3%,5
20240419,688050,爱博医疗,75.77,20240527,78.52,3.6%,38
20240422,301033,迈普医学,30.43,20240709,36.26,19.2%,78
20240423,300836,佰奥智能,15.56,20240607,21.84,40.4%,45
20240423,300200,高盟新材,6.71,20240510,7.23,7.8%,17
20240423,300482,万孚生物,24.08,20240516,27.74,15.2%,23
20240423,300761,立华股份,21.55,20240426,20.40,-5.3%,3
20240423,688480,赛恩斯,31.44,20240604,29.24,-7.0%,42
20240423,003006,百亚股份,18.61,20240716,21.50,15.5%,84
20240423,603919,金徽酒,19.89,20240607,18.80,-5.4%,45
20240423,300566,激智科技,13.10,20240604,14.00,6.9%,42
20240424,003023,彩虹集团,15.85,20240626,15.04,-5.1%,63
20240424,603051,鹿山新材,17.56,20240527,17.96,2.3%,33
20240424,301105,鸿铭股份,24.00,20240604,24.96,4.0%,41
20240424,600315,上海家化,19.92,20240607,18.93,-5.0%,44
20240424,301099,雅创电子,22.48,20240604,24.68,9.8%,41
20240424,301012,扬电科技,13.41,20240607,17.42,29.9%,44
20240425,300647,超频三,4.72,20240426,4.51,-4.5%,1
20240425,300816,艾可蓝,20.77,20240612,23.29,12.1%,48
20240425,300673,佩蒂股份,13.72,20240426,13.00,-5.3%,1
20240425,300075,数字政通,15.15,20240607,14.38,-5.1%,43
20240425,300976,达瑞电子,19.27,20240527,20.53,6.6%,32
20240425,603706,东方环宇,12.39,20240429,13.15,6.1%,4
20240425,002970,锐明技术,27.21,20240726,30.82,13.3%,92
20240425,002928,华夏航空,6.11,20240614,6.69,9.5%,50
20240426,688272,富吉瑞,15.50,20240604,17.70,14.2%,39
20240426,603693,江苏新能,10.90,20240527,12.62,15.8%,31
20240426,002773,康弘药业,18.47,20240516,20.88,13.1%,20
20240426,002085,万丰奥威,16.53,20240506,15.77,-4.6%,10
20240426,002996,顺博合金,6.83,20240604,6.28,-8.1%,39
20240426,600727,鲁北化工,6.25,20240522,7.59,21.4%,26
20240426,300107,建新股份,10.81,20240510,12.41,14.8%,14
20240426,300666,江丰电子,45.28,20240628,46.87,3.5%,63
20240426,688408,中信博,62.60,20240510,67.19,7.4%,14
20240426,002496,辉丰股份,2.63,20240614,2.64,0.4%,49
20240429,301085,亚康股份,50.40,20240510,47.81,-5.1%,11
20240429,603385,惠达卫浴,5.97,20240529,6.32,5.9%,30
20240429,600660,福耀玻璃,44.96,20240522,42.70,-5.0%,23
20240429,002962,五方光电,14.12,20240527,16.17,14.5%,28
20240429,601069,西部黄金,11.87,20240516,13.36,12.6%,17
20240429,002035,华帝股份,6.34,20240604,7.47,17.8%,36
20240429,300380,安硕信息,16.33,20240604,14.85,-9.1%,36
20240429,300529,健帆生物,24.72,20240529,26.21,6.0%,30
20240429,300316,晶盛机电,32.74,20240607,30.67,-6.3%,39
20240429,300492,华图山鼎,67.18,20240607,74.25,10.5%,39
20240429,300307,慈星股份,5.54,20240522,6.37,15.0%,23
20240429,688233,神工股份,19.10,20240604,20.22,5.9%,36
20240429,301299,卓创资讯,43.15,20240607,38.32,-11.2%,39
20240429,688162,巨一科技,22.53,20240527,21.37,-5.2%,28
20240430,605277,新亚电子,11.05,20240527,11.44,3.5%,27
20240430,000786,北新建材,30.80,20240607,29.71,-3.5%,38
20240430,000544,中原环保,7.00,20240604,7.93,13.3%,35
20240430,002661,克明食品,7.10,20240607,7.17,1.0%,38
20240430,002755,奥赛康,10.54,20240607,9.51,-9.8%,38
20240430,002862,实丰文化,9.84,20240509,11.14,13.3%,9
20240430,000926,福星股份,2.67,20240604,2.53,-5.4%,35
20240430,603613,国联股份,23.80,20240516,23.48,-1.3%,16
20240430,603200,上海洗霸,23.76,20240520,22.68,-4.6%,20
20240430,603606,东方电缆,35.11,20240701,39.07,11.3%,62
20240430,600183,生益科技,16.55,20240701,18.34,10.8%,62
20240430,603809,豪能股份,5.53,20240510,6.20,12.0%,10
20240430,601512,中新集团,8.10,20240626,7.31,-9.8%,57
20240430,002534,西子洁能,10.68,20240626,9.80,-8.2%,57
20240430,002340,格林美,6.80,20240527,6.45,-5.2%,27
20240430,002476,新叶股份,3.93,20240607,3.65,-7.1%,38
20240430,300031,宝通科技,14.26,20240607,13.39,-6.1%,38
20240430,603228,景旺电子,21.55,20240718,26.45,22.7%,79
20240430,605369,拱东医疗,25.27,20240516,23.80,-5.8%,16
20240430,688148,芳源股份,5.21,20240527,4.91,-5.8%,27
20240430,301327,华宝新能,43.14,20240516,45.40,5.2%,16
20240430,688019,安集科技,75.24,20240522,71.01,-5.6%,22
20240430,300769,德方纳米,36.10,20240516,35.83,-0.8%,16
20240430,300587,天铁科技,4.69,20240604,4.40,-6.2%,35
20240430,688531,日联科技,34.44,20240516,32.15,-6.7%,16
20240430,688234,天岳先进,55.05,20240516,52.36,-4.9%,16
20240430,300842,帝科股份,54.47,20240516,51.50,-5.5%,16
20240430,300724,捷佳伟创,65.41,20240607,60.81,-7.0%,38
20240430,003025,思进智能,10.31,20240607,9.56,-7.3%,38
20240430,603976,正川股份,15.14,20240604,14.15,-6.5%,35
20240430,600882,妙可蓝多,13.91,20240529,14.51,4.3%,29
20240430,000155,川能动力,11.21,20240709,10.25,-8.6%,70
20240430,300291,百纳千成,5.48,20240509,5.13,-6.4%,9
20240430,688095,福昕软件,59.62,20240516,53.90,-9.6%,16
20240506,002811,郑中设计,6.49,20240509,6.16,-5.1%,3
20240506,603730,岱美股份,7.06,20240726,6.36,-9.9%,81
20240506,603337,杰克科技,25.33,20240520,26.98,6.5%,14
20240506,002365,永安药业,8.10,20240517,7.70,-4.9%,11
20240506,600480,凌云股份,7.88,20240607,7.26,-7.8%,32
20240801,603416,信捷电气,31.28,20240815,28.82,-7.9%,14
20240807,688059,华锐精密,32.91,20240815,30.27,-8.0%,8
20240814,300880,迦南智能,18.69,20240823,17.42,-6.8%,9
20240816,300183,东软载波,13.20,20240819,12.35,-6.4%,3
20240819,600577,精达股份,4.79,20240905,4.05,-15.5%,17
20240820,300130,新国都,15.30,20241008,26.62,74.0%,49
20240821,300532,今天国际,6.32,20241008,10.04,58.9%,48
20240821,603192,汇得科技,13.29,20241010,14.72,10.8%,50
20240821,002303,美盈森,2.11,20240823,1.98,-6.2%,2
20240823,688278,特宝生物,53.67,20240924,57.22,6.6%,32
20240823,002479,富春环保,3.55,20241119,4.46,25.6%,88
20240826,605183,确成股份,15.40,20241010,17.01,10.5%,45
20240827,688567,孚能科技,9.33,20241008,15.20,62.9%,42
20240827,688251,井松智能,11.53,20240918,11.43,-0.9%,22
20240827,688209,英集芯,10.61,20241008,16.58,56.3%,42
20240828,600529,山东药玻,22.86,20241018,26.35,15.3%,51
20240828,002555,三七互娱,11.65,20241010,14.87,27.6%,43
20240828,601101,昊华能源,8.01,20240910,7.14,-10.9%,13
20240829,002345,潮宏基,3.70,20241010,4.40,18.9%,42
20240829,301196,唯科科技,19.96,20241010,24.79,24.2%,42
20240829,605169,洪通燃气,8.38,20241014,9.70,15.7%,46
20240829,000913,钱江摩托,14.08,20241010,16.54,17.5%,42
20240830,301205,联特科技,51.65,20240918,51.46,-0.4%,19
20240830,603040,新坐标,11.94,20241010,13.47,12.8%,41
20240830,603328,依顿电子,7.14,20241127,8.80,23.2%,89
20240830,603218,日月股份,10.01,20241014,11.37,13.6%,45
20240830,603698,航天工程,12.89,20241016,14.55,12.9%,47
20240830,600559,老白干酒,17.18,20240918,15.60,-9.2%,19
20240830,600487,亨通光电,13.95,20241119,17.38,24.6%,81
20240830,300255,常山药业,10.17,20241010,13.01,27.9%,41
20240830,002120,韵达股份,6.65,20241010,8.15,22.6%,41
20240830,300925,法本信息,9.97,20241008,26.04,161.2%,39
20240830,300545,联得装备,24.26,20240918,22.27,-8.2%,19
20240830,300040,九洲集团,5.16,20241010,6.34,22.9%,41
20240830,688131,皓元医药,22.23,20240920,23.59,6.1%,21
20240902,300131,英唐智控,5.75,20240910,5.17,-10.1%,8
20240902,688733,壹石通,14.62,20240918,13.26,-9.3%,16
20240902,688489,三未信安,16.80,20240924,18.20,8.4%,22
20240902,300384,三联虹普,12.42,20241010,16.37,31.8%,38
20240902,002946,新乳业,8.47,20241010,10.58,24.9%,38
20240902,000021,深科技,13.58,20241010,16.42,20.9%,38
20240902,603596,伯特利,25.14,20241016,30.18,20.1%,44
20240902,688355,明志科技,12.17,20241014,15.59,28.2%,42
20240903,603306,华懋科技,18.84,20240918,17.14,-9.0%,15
20240903,603004,鼎龙科技,18.59,20240910,15.87,-14.6%,7
20240903,002950,奥美医疗,7.14,20241010,8.11,13.6%,37
20240903,001319,铭科精技,17.38,20241010,20.20,16.2%,37
20240904,600072,中船科技,12.20,20241014,13.93,14.2%,40
20241022,688195,腾景科技,25.90,20241023,24.76,-4.4%,1
20241023,002891,中宠股份,29.00,20241119,32.46,11.9%,27
20241024,603618,杭电股份,5.59,20241104,5.33,-4.7%,11
20241024,002991,甘源食品,66.93,20241111,70.60,5.5%,18
20241025,600665,天地源,3.18,20241113,3.36,5.7%,19
20241028,301121,紫建电子,33.40,20241107,37.55,12.4%,10
20241028,300777,中简科技,32.42,20241031,30.43,-6.1%,3
20241028,601137,博威合金,18.96,20241107,18.48,-2.5%,10
20241029,300603,立昂技术,10.61,20241104,9.71,-8.5%,6
20241029,001380,华纬科技,15.39,20241111,15.98,3.9%,13
20241029,688419,耐科装备,23.87,20241119,24.14,1.1%,21
20241029,002351,漫步者,14.71,20241104,13.99,-4.9%,6
20241030,603676,卫信康,9.83,20241224,10.21,3.8%,55
20241030,301345,涛涛车业,59.99,20241119,58.01,-3.3%,20
20241030,605333,沪光股份,33.01,20241107,34.89,5.7%,8
20241030,603173,福斯达,21.85,20241218,22.95,5.0%,49
20241030,600343,航天动力,12.01,20241104,10.90,-9.2%,5
20241030,300972,万辰集团,68.24,20241119,66.71,-2.2%,20
20241031,603609,禾丰股份,8.17,20241226,8.62,5.5%,56
20241101,688533,上声电子,33.53,20241113,37.19,10.9%,12
20241101,600651,飞乐音响,4.30,20241119,4.55,5.8%,18
20241101,002358,森源电气,4.50,20241113,4.73,5.1%,12
20241101,603690,至纯科技,26.09,20241119,27.54,5.6%,18
20241101,002432,九安医疗,44.72,20241119,43.29,-3.2%,18
20241101,600248,陕建股份,4.45,20241113,4.68,5.2%,12
20241112,688347,华虹宏力,54.00,20241119,48.58,-10.0%,7
20250307,603759,海天股份,8.44,20250408,7.50,-11.1%,32
20250313,002056,横店东磁,13.56,20250401,13.81,1.8%,19
20250318,001914,招商积余,11.57,20250812,12.79,10.5%,147
20250318,600211,西藏药业,36.53,20250512,33.93,-7.1%,55
20250319,605058,澳弘电子,26.35,20250324,24.11,-8.5%,5
20250321,600063,皖维高新,4.56,20250408,4.04,-11.4%,18
20250328,001299,美能能源,7.74,20250624,8.08,4.3%,88
20250328,002749,国光股份,11.63,20250421,11.89,2.3%,24
20250331,003028,振邦智能,36.06,20250401,34.04,-5.6%,1
20250331,001333,光华股份,23.17,20250402,25.76,11.2%,2
20250401,300193,佳士科技,11.17,20250408,8.77,-21.5%,7
20250401,603312,西典新能,38.73,20250408,34.40,-11.2%,7
20250402,001389,广合科技,54.36,20250408,40.72,-25.1%,6
20250402,603565,中谷物流,8.76,20250408,8.46,-3.4%,6
20250403,601579,会稽山,11.22,20250411,12.08,7.7%,8
20250411,603500,祥和实业,7.24,20250623,8.38,15.8%,73
20250411,002626,金达威,14.09,20250514,16.01,13.6%,33
20250414,600550,保变电气,8.38,20250416,7.95,-5.1%,2
20250414,001337,四川黄金,24.58,20250424,25.09,2.1%,10
20250415,002487,大金重工,25.54,20250806,31.23,22.3%,113
20250416,002121,科陆电子,4.48,20250603,4.91,9.6%,48
20250416,603456,九洲药业,13.26,20250417,12.74,-3.9%,1
20250418,688508,芯朋微,58.30,20250424,54.82,-6.0%,6
20250421,301566,达利凯普,16.88,20250422,16.04,-5.0%,1
20250422,688291,金橙子,21.54,20250616,32.33,50.1%,55
20250422,300690,双一科技,21.15,20250611,22.31,5.5%,50
20250422,300279,和晶科技,6.18,20250603,6.44,4.2%,42
20250423,301258,富士莱,27.62,20250521,30.78,11.4%,28
20250423,688410,山外山,13.11,20250508,12.47,-4.9%,15
20250423,300368,汇金股份,5.46,20250605,10.36,89.7%,43
20250423,600866,星湖科技,7.51,20250507,7.08,-5.7%,14
20250423,600105,永鼎股份,6.10,20260112,31.52,416.6%,264
20250423,600668,尖峰集团,9.92,20250616,11.56,16.6%,54
20250424,002983,芯瑞达,17.99,20250722,20.34,13.1%,89
20250424,603205,健尔康,30.75,20250506,29.88,-2.8%,12
20250424,301318,维海德,30.23,20250722,32.64,8.0%,89
20250424,300502,新易盛,45.45,20250828,252.82,456.3%,126
20250424,301061,匠心家居,39.46,20251009,67.82,71.9%,168
20250425,301509,金凯生科,31.20,20250508,34.05,9.1%,13
20250425,688112,鼎阳科技,34.09,20250618,33.16,-2.7%,54
20250425,300824,北鼎股份,10.21,20250618,12.00,17.5%,54
20250425,301022,海泰科,27.35,20250529,27.96,2.2%,34
20250425,300569,天能重工,4.93,20250701,5.59,13.4%,67
20250428,301103,何氏眼科,19.99,20250612,22.48,12.5%,45
20250428,301603,乔锋智能,49.35,20250529,50.97,3.3%,31
20250428,300528,幸福蓝海,8.88,20250618,10.08,13.5%,51
20250428,601566,九牧王,8.50,20250506,8.13,-4.4%,8
20250428,600771,广誉远,19.00,20250611,21.15,11.3%,44
20250428,603087,甘李药业,47.65,20250618,53.44,12.2%,51
20250428,603605,珀莱雅,84.32,20250521,94.04,11.5%,23
20250428,002386,天原股份,4.60,20250828,5.08,10.4%,122
20250428,002996,顺博合金,6.54,20250616,7.20,10.1%,49
20250429,688113,联测科技,31.39,20250905,39.15,24.7%,129
20250429,600578,京能电力,4.10,20250710,4.61,12.4%,72
20250429,603113,金能科技,5.63,20250616,6.32,12.3%,48
20250429,002530,金财互联,9.97,20250521,10.50,5.3%,22
20250429,002780,三夫户外,11.47,20250616,12.69,10.6%,48
20250429,600589,大位科技,7.10,20250529,7.30,2.8%,30
20250429,300484,蓝海华腾,19.42,20250529,19.94,2.7%,30
20250429,300945,曼卡龙,13.90,20250604,29.06,109.1%,36
20250429,688328,深科达,16.84,20250905,24.98,48.3%,129
20250430,301230,泓博医药,29.84,20250605,32.52,9.0%,36
20250430,605599,菜百股份,11.95,20250508,12.32,3.1%,8
20250430,603816,顾家家居,23.74,20251212,29.53,24.4%,226
20250430,002345,潮宏基,9.51,20250507,9.20,-3.3%,7
20250430,002382,蓝帆医疗,5.00,20250818,6.13,22.6%,110
20250430,002009,天奇股份,14.55,20250529,15.13,4.0%,29
20250430,003037,三和管桩,6.76,20250730,8.98,32.8%,91
20250430,603313,梦百合,7.67,20250611,8.57,11.7%,42
20250430,300571,平治信息,31.52,20250508,33.09,5.0%,8
20250430,603680,今创集团,8.84,20250604,9.93,12.3%,35
20250430,300973,立高食品,41.10,20250616,48.42,17.8%,47
20250430,300573,兴齐眼药,38.46,20250512,37.03,-3.7%,12
20250430,301372,科净源,18.09,20250922,24.92,37.8%,145
20250430,301526,国际复材,3.71,20250618,3.60,-3.0%,49
20250430,688147,微导纳米,30.98,20250514,30.22,-2.5%,14
20250430,688128,中国电研,22.80,20250529,23.77,4.3%,29
20250430,601003,柳钢股份,3.14,20250815,5.81,85.0%,107
20250506,600986,浙文互联,8.33,20250618,7.91,-5.0%,43
20250506,600337,ST美克,1.93,20250605,2.15,11.4%,30
20250506,002201,九鼎新材,6.51,20250529,6.30,-3.2%,23
20250506,002933,新兴装备,34.72,20250529,33.22,-4.3%,23
20250506,603900,莱绅通灵,6.86,20250717,9.79,42.7%,72
20250506,002034,旺能环境,17.60,20250605,17.00,-3.4%,30
20250506,001316,润贝航科,19.81,20250513,22.37,12.9%,7
20250506,600463,空港股份,9.42,20250529,10.18,8.1%,23
20250506,002491,通鼎互联,4.71,20250623,5.37,14.0%,48
20250506,603123,翠微股份,8.27,20250730,12.90,56.0%,85
20250506,600743,华远控股,1.93,20250512,1.85,-4.2%,6
20250506,603839,安正时尚,5.64,20250606,7.08,25.5%,31
20250506,688499,利元亨,26.95,20251218,53.82,99.7%,226
20250506,688588,凌志软件,13.87,20250519,13.28,-4.3%,13
20250506,688667,菱电电控,54.90,20250611,53.05,-3.4%,36
20250506,603922,ST金鸿顺,19.89,20250507,18.70,-6.0%,1
20250507,600392,盛和资源,11.81,20250519,12.07,2.2%,12
20250507,688595,芯海科技,43.00,20250513,41.25,-4.1%,6
20250731,301235,华康洁净,32.14,20250806,30.21,-6.0%,6
20250731,605507,国邦医药,16.59,20250822,16.09,-3.1%,22
20250807,603508,思维列控,31.36,20250828,30.28,-3.4%,21
20250808,002353,杰瑞股份,44.36,20251015,52.17,17.6%,68
20250813,300453,三鑫医疗,10.19,20250828,9.40,-7.8%,15
20250814,002938,鹏鼎控股,54.02,20250821,49.09,-9.1%,7
20250815,688302,海创药业,64.70,20250821,61.39,-5.1%,6
20250819,688045,必易微,43.05,20250905,43.18,0.3%,17
20250819,688301,奕瑞科技,75.33,20250905,81.31,7.9%,17
20250820,300631,久吾高科,35.79,20250901,33.91,-5.3%,12
20250820,603083,剑桥科技,64.13,20250905,80.48,25.5%,16
20250821,300893,松原安全,22.88,20250910,20.44,-10.7%,20
20250821,002004,华邦健康,4.65,20250922,4.29,-7.8%,32
20250821,600660,福耀玻璃,60.51,20251015,65.37,8.0%,55
20250821,603909,建发合诚,10.73,20251110,11.58,7.9%,81
20250822,603008,ST喜临门,17.82,20251103,16.58,-7.0%,73
20250825,300113,顺网科技,27.75,20250901,26.18,-5.7%,7
20250825,688063,派能科技,52.00,20251020,63.38,21.9%,56
20250826,000682,东方电子,11.97,20250908,11.14,-6.9%,13
20250826,002057,中钢天源,11.62,20250910,10.83,-6.8%,15
20250826,603379,三美股份,59.06,20250910,54.84,-7.2%,15
20250826,003013,地铁设计,15.79,20251009,14.76,-6.5%,44
20250826,002091,江苏国泰,7.91,20251020,8.02,1.4%,55
20250826,603111,康尼机电,7.18,20250922,7.58,5.6%,27
20250826,603669,灵康药业,6.35,20250910,5.81,-8.5%,15
20250826,300003,乐普医疗,20.37,20250828,18.90,-7.2%,2
20250827,301603,乔锋智能,72.70,20250924,77.94,7.2%,28
20250827,002593,日上集团,5.59,20250924,5.15,-7.9%,28
20250827,002690,美亚光电,19.30,20260127,20.19,4.6%,153
20250827,002410,广联达,15.21,20250905,13.70,-9.9%,9
20250827,603987,康德莱,9.46,20250922,8.80,-7.0%,26
20250827,600704,物产中大,6.20,20250829,5.79,-6.6%,2
20250827,300971,博亚精工,26.66,20250829,24.40,-8.5%,2
20250828,300496,中科创达,75.22,20251015,70.57,-6.2%,48
20250828,300770,新媒股份,43.79,20251119,41.65,-4.9%,83
20250828,003012,东鹏控股,6.86,20251020,7.33,6.9%,53
20250828,002950,奥美医疗,10.27,20250917,9.73,-5.3%,20
20250828,601512,中新集团,8.91,20250922,9.21,3.4%,25
20250829,001222,源飞宠物,24.61,20250910,26.44,7.4%,12
20250829,601877,正泰电器,27.46,20251015,29.61,7.8%,47
20250829,600210,紫江企业,6.99,20250916,7.53,7.7%,18
20250901,301177,迪阿股份,34.62,20251015,32.41,-6.4%,44
20250901,002530,金财互联,11.96,20251015,11.14,-6.9%,44
20250901,603583,捷昌驱动,42.55,20251015,38.48,-9.6%,44
20250901,600928,西安银行,4.16,20250930,3.89,-6.5%,29
20250901,688286,敏芯股份,95.89,20251015,95.78,-0.1%,44
20250901,688201,ST信安,15.00,20251020,13.72,-8.5%,49
20250901,300111,向日葵,4.52,20250924,8.57,89.6%,23
20250901,301257,普蕊斯,43.47,20250922,49.03,12.8%,21
20250901,688131,皓元医药,67.38,20251015,77.12,14.5%,44
20250902,002266,浙富控股,3.93,20251020,4.15,5.6%,48
20250902,603115,海星股份,21.50,20250905,19.56,-9.0%,3
20250902,002074,国轩高科,41.30,20251015,41.88,1.4%,43
20250902,603004,鼎龙科技,24.24,20251020,22.69,-6.4%,48
20250902,002654,万润科技,13.75,20251015,14.41,4.8%,43
20250902,603289,泰瑞机器,10.85,20251113,10.26,-5.4%,72
20250902,301193,家联科技,24.97,20250905,22.74,-8.9%,3
20250902,601116,三江购物,11.85,20250917,15.26,28.8%,15
20250902,600489,中金黄金,18.07,20251103,21.83,20.8%,62
20251021,002829,星网宇达,25.62,20251113,28.00,9.3%,23
20251022,002380,科远智慧,30.03,20251110,28.25,-5.9%,19
20251022,688148,芳源股份,7.70,20251024,7.12,-7.5%,2
20251023,002546,新联电子,6.66,20251113,7.29,9.5%,21
20251023,002137,实益达,8.90,20260324,8.21,-7.8%,152
20251027,688600,皖仪科技,24.61,20251113,23.29,-5.4%,17
20251027,300508,维宏股份,31.83,20251217,32.81,3.1%,51
20251027,300445,康斯特,20.07,20251222,24.19,20.5%,56
20251027,301616,浙江华业,54.98,20251119,50.69,-7.8%,23
20251027,603160,汇顶科技,84.34,20251217,77.36,-8.3%,51
20251027,003030,祖名股份,21.32,20251212,19.57,-8.2%,46
20251027,688636,智明达,36.56,20251119,33.35,-8.8%,23
20251028,300655,晶瑞电材,15.95,20251119,14.91,-6.5%,22
20251028,002478,常宝股份,6.40,20251119,7.31,14.2%,22
20251028,603699,纽威股份,50.55,20260203,58.21,15.2%,98
20251028,600549,厦门钨业,34.60,20251225,39.82,15.1%,58
20251028,002595,豪迈科技,44.14,20260327,56.64,28.3%,150
20251028,603787,新日股份,13.85,20251217,12.64,-8.7%,50
20251028,001258,立新能源,8.07,20251205,7.43,-7.9%,38
20251028,000543,皖能电力,8.74,20251113,8.23,-5.8%,16
